Ruc|Nombre/Razon|A partir del|Resolucion|
20494626897|"SOLUCIONES AVANZADAS EN AGRONEGOCIOS - WIRACCOCHA DEL PERU" S.A.C.|01/09/2016|RS R.S.180-2016|
20512081372|'NEGOCIACION KIO' SOCIEDAD ANONIMA CERRADA|01/06/2012|RS R.S.096-2012|
20526016069|'PQA DEL PERU S.A.C '|01/09/2016|RS R.S.180-2016|
20505108672|1818 S.A.C|01/02/2006|RS R.S.254-2005|
20315738823|3A S.A.|01/11/2012|RS R.S.228-2012|
20509430625|3B E.I.R.L.|01/09/2016|RS R.S.180-2016|
20100119227|3M PERU S A|01/06/2002|RS R.S.037-2002|
20522767485|4PACK BTL S.A.C.|01/02/2015|RS R.S.395-2014|
20480085184|A & B REPRESENTACIONES S.R.L.|01/12/2011|RS R.S.257-2011|
20483453362|A & J INVERSIONES SOCIEDAD ANONIMA CERRADA|01/02/2015|RS R.S.395-2014|
20100364701|A & R S.A.C.CONTRATISTAS GENERALES|01/02/2015|RS R.S.395-2014|
20326764214|A I D INGENIEROS S.A.C.|01/03/2014|RS R.S.378-2013|
20470234599|A K DRILLING INTERNATIONAL S.A.|01/05/2011|RS R.S.082-2011|
20100050359|A W FABER CASTELL PERUANA S A|01/06/2002|RS R.S.037-2002|
20429006300|A Y A EDIFICACIONES S.A.C.|01/11/2012|RS R.S.228-2012|
20517759539|A Y G GRUPO INMOBILIARIO SOCIEDAD ANONIMA CERRADA|01/02/2015|RS R.S.395-2014|
20100029741|A. BERIO Y CIA S.A.C.|01/11/2012|RS R.S.228-2012|
20131524545|A. SOLANO & CIA S.A.C.|01/11/2012|RS R.S.228-2012|
20100024862|A. TARRILLO BARBA S.A.|01/06/2002|RS R.S.037-2002|
20117761755|A.R. INMOBILIARIA CONTRATISTAS S.A.|01/06/2012|RS R.S.096-2012|
20219028611|AB Y P CONTRATISTAS GENERALES S.A.C.|01/02/2015|RS R.S.395-2014|
20514902586|ABAD SERVICIOS Y FABRICACIONES EN GENERAL SOCIEDAD ANONIMA CERRADA|01/09/2016|RS R.S.180-2016|
20547266782|ABANTIA PERU S.A.C.|01/07/2015|RS R.S.139-2015|
20100022142|ABB S.A.|01/06/2002|RS R.S.037-2002|
20100096936|ABBOTT LABORATORIOS SA|01/06/2002|RS R.S.037-2002|
20253757931|ABENGOA PERU S.A.|01/06/2002|RS R.S.037-2002|
20100068487|ABRASIVOS S.A.|01/06/2002|RS R.S.037-2002|
20536742248|ABY TRANSMISION SUR S.A.|01/12/2011|RS R.S.257-2011|
20546128939|AC AGREGADOS SOCIEDAD ANONIMA - AC AGREGADOS S.A.|01/07/2015|RS R.S.139-2015|
20520102508|ACCENTURE PERU S.R.L.|01/06/2012|RS R.S.096-2012|
20549024417|ACCIONA INFRAESTRUCTURAS S.A. SUCURSAL PERU|01/07/2015|RS R.S.139-2015|
20100036101|ACEROS BOEHLER DEL PERU S A|01/06/2002|RS R.S.037-2002|
20100241022|ACEROS COMERCIALES S C R L|01/11/2012|RS R.S.228-2012|
20430039254|ACEROS DEL PERU SOCIEDAD ANONIMA CERRADA ACEPESAC|01/06/2012|RS R.S.096-2012|
20265835270|ACEROS Y CONCRETOS SAC|01/06/2002|RS R.S.037-2002|
20458127400|ACS INDUSTRIA METAL MECANICA EIRL|01/02/2015|RS R.S.395-2014|
20254218252|ACS REFRIGERACION S.A.C.|01/02/2015|RS R.S.395-2014|
20454509707|ACTIV INTERNATIONAL S.A.C.|01/07/2015|RS R.S.139-2015|
